index,class,cap-shape,cap-surface,cap-color,odor,population,habitat
132,edible,bell,scaly,white,anise,scattered,meadows
133,edible,flat,smooth,white,anise,several,woods
134,edible,convex,scaly,yellow,anise,scattered,meadows
135,edible,flat,smooth,white,almond,several,woods
136,poisonous,convex,scaly,white,pungent,several,urban
137,edible,flat,fibrous,white,anise,several,woods
138,edible,convex,scaly,yellow,almond,scattered,grasses
139,poisonous,convex,smooth,brown,pungent,several,grasses
140,edible,bell,smooth,yellow,anise,numerous,grasses
141,edible,convex,scaly,brown,almond,soletary,paths
142,edible,bell,scaly,yellow,anise,numerous,meadows
143,edible,sunken,fibrous,brown,none,several,urban
144,edible,flat,scaly,brown,almond,soletary,paths
145,edible,convex,scaly,yellow,almond,numerous,grasses
146,edible,convex,fibrous,gray,none,scattered,grasses
147,edible,flat,fibrous,white,none,abundant,grasses
148,edible,convex,scaly,yellow,anise,numerous,meadows
149,edible,bell,smooth,yellow,anise,numerous,grasses
150,edible,bell,scaly,white,almond,numerous,meadows
151,edible,convex,scaly,white,almond,scattered,grasses
152,edible,convex,smooth,brown,none,abundant,grasses
153,edible,convex,scaly,white,anise,scattered,grasses
154,edible,sunken,fibrous,brown,none,several,urban
155,edible,convex,smooth,white,almond,several,woods
156,edible,convex,scaly,brown,anise,scattered,grasses
157,edible,bell,scaly,yellow,almond,numerous,grasses
158,edible,convex,scaly,white,almond,numerous,grasses
159,edible,bell,scaly,white,almond,scattered,meadows
160,edible,bell,smooth,yellow,almond,scattered,grasses
161,edible,bell,smooth,yellow,anise,scattered,meadows
162,edible,bell,scaly,yellow,almond,numerous,grasses
163,edible,convex,fibrous,brown,none,soletary,urban
164,edible,flat,scaly,brown,anise,soletary,grasses
165,edible,convex,scaly,white,almond,scattered,grasses
166,edible,flat,scaly,yellow,anise,soletary,paths
167,edible,bell,smooth,white,almond,scattered,grasses
168,edible,bell,smooth,white,almond,scattered,meadows
169,edible,convex,scaly,brown,anise,soletary,grasses
170,edible,bell,smooth,white,almond,scattered,grasses
171,edible,convex,fibrous,gray,none,soletary,urban
172,edible,bell,smooth,yellow,anise,scattered,grasses
173,edible,convex,fibrous,yellow,anise,several,woods
174,edible,bell,scaly,yellow,almond,scattered,grasses
175,edible,flat,scaly,yellow,anise,scattered,grasses
176,edible,bell,scaly,white,anise,numerous,meadows
177,edible,bell,scaly,white,almond,numerous,meadows
178,edible,bell,scaly,yellow,almond,scattered,grasses
179,edible,convex,scaly,yellow,anise,numerous,meadows
180,edible,bell,smooth,yellow,anise,numerous,grasses
181,poisonous,convex,scaly,white,pungent,several,urban
182,edible,sunken,fibrous,brown,none,soletary,urban
183,edible,flat,fibrous,brown,none,several,urban
184,edible,convex,smooth,yellow,almond,scattered,meadows
185,edible,flat,scaly,brown,almond,scattered,paths
186,poisonous,convex,scaly,white,pungent,scattered,grasses
187,edible,bell,smooth,white,anise,scattered,meadows
188,edible,flat,fibrous,gray,none,several,urban
189,edible,bell,scaly,yellow,anise,numerous,grasses
190,edible,convex,scaly,brown,almond,soletary,paths
191,edible,convex,fibrous,white,none,scattered,grasses
192,edible,convex,smooth,white,anise,several,woods
193,edible,bell,smooth,white,anise,scattered,meadows
194,edible,flat,smooth,yellow,almond,several,woods
195,edible,convex,smooth,yellow,almond,numerous,meadows
196,edible,flat,fibrous,gray,none,soletary,urban
197,edible,bell,smooth,yellow,almond,scattered,grasses
198,edible,convex,smooth,white,anise,numerous,meadows
199,edible,convex,scaly,white,anise,scattered,meadows
200,edible,flat,smooth,white,almond,several,woods
201,edible,convex,scaly,yellow,anise,scattered,grasses
202,edible,bell,smooth,white,anise,scattered,grasses
203,edible,convex,smooth,white,almond,numerous,grasses
204,edible,convex,fibrous,white,none,scattered,grasses
205,edible,flat,scaly,brown,anise,soletary,paths
206,poisonous,convex,smooth,white,pungent,several,urban
207,edible,bell,smooth,white,almond,numerous,grasses
208,edible,bell,smooth,white,almond,scattered,meadows
209,edible,bell,scaly,white,anise,numerous,grasses
210,edible,bell,scaly,white,almond,numerous,grasses
211,edible,convex,smooth,yellow,almond,scattered,grasses
212,edible,bell,smooth,white,anise,numerous,meadows
213,edible,convex,fibrous,yellow,almond,several,woods
214,edible,convex,fibrous,gray,none,soletary,urban
215,edible,flat,scaly,yellow,almond,scattered,grasses
216,edible,bell,smooth,white,anise,numerous,meadows
217,edible,convex,smooth,yellow,almond,scattered,grasses
218,edible,convex,scaly,yellow,almond,scattered,grasses
219,edible,convex,scaly,white,anise,scattered,grasses
220,edible,sunken,fibrous,gray,none,several,urban
221,edible,convex,smooth,white,almond,numerous,meadows
222,poisonous,convex,smooth,white,pungent,scattered,grasses
223,edible,convex,scaly,yellow,almond,scattered,grasses
224,edible,flat,fibrous,white,almond,several,woods
225,edible,convex,scaly,white,anise,numerous,meadows
226,edible,bell,scaly,white,anise,scattered,grasses
227,edible,convex,smooth,white,almond,numerous,grasses
228,edible,convex,smooth,yellow,almond,scattered,grasses
229,poisonous,convex,scaly,brown,pungent,several,urban
230,edible,bell,smooth,yellow,almond,numerous,grasses
231,edible,convex,fibrous,gray,none,soletary,urban
232,poisonous,convex,scaly,white,pungent,scattered,urban
233,edible,convex,scaly,yellow,anise,soletary,paths
234,edible,flat,fibrous,brown,none,several,urban
235,edible,bell,smooth,white,anise,numerous,grasses
236,edible,convex,fibrous,white,anise,several,woods
237,edible,convex,scaly,white,anise,scattered,grasses
238,edible,bell,scaly,yellow,anise,scattered,grasses
239,edible,convex,scaly,yellow,anise,scattered,grasses
240,edible,flat,scaly,yellow,almond,scattered,paths
241,edible,flat,scaly,yellow,almond,soletary,paths
242,edible,convex,smooth,white,anise,scattered,grasses
243,edible,convex,smooth,white,almond,numerous,meadows
244,poisonous,convex,smooth,white,pungent,several,urban
245,edible,flat,fibrous,white,almond,several,woods
246,edible,convex,smooth,white,anise,scattered,grasses
247,edible,convex,smooth,white,anise,several,woods
248,edible,convex,scaly,white,almond,scattered,meadows
249,edible,flat,scaly,yellow,anise,soletary,paths
250,edible,convex,smooth,brown,none,scattered,grasses
251,edible,flat,scaly,yellow,almond,soletary,grasses
252,poisonous,convex,smooth,brown,pungent,scattered,grasses
253,edible,sunken,fibrous,brown,none,several,urban
254,edible,bell,scaly,yellow,anise,scattered,meadows
255,edible,bell,smooth,white,anise,scattered,grasses
256,edible,bell,scaly,white,anise,numerous,meadows
257,edible,flat,fibrous,brown,none,several,urban
258,edible,convex,smooth,white,almond,numerous,meadows
259,edible,bell,scaly,white,anise,numerous,grasses
260,edible,bell,scaly,white,almond,numerous,meadows
261,edible,flat,scaly,brown,anise,scattered,grasses
262,poisonous,convex,scaly,white,pungent,several,grasses
263,edible,convex,smooth,white,almond,numerous,grasses
264,edible,convex,scaly,white,almond,scattered,meadows
265,edible,flat,fibrous,white,anise,several,woods
266,edible,flat,fibrous,gray,none,several,urban
267,edible,flat,smooth,gray,none,abundant,grasses
268,edible,convex,scaly,yellow,almond,scattered,meadows
269,edible,bell,smooth,white,almond,scattered,meadows
270,poisonous,flat,scaly,brown,pungent,scattered,urban
271,edible,convex,smooth,white,anise,numerous,meadows
272,poisonous,flat,smooth,brown,pungent,several,urban
273,edible,convex,scaly,white,anise,scattered,grasses
274,edible,convex,scaly,yellow,almond,numerous,meadows
275,edible,flat,scaly,yellow,almond,scattered,paths
276,edible,convex,scaly,brown,almond,scattered,paths
277,edible,flat,scaly,brown,almond,soletary,grasses
278,edible,convex,scaly,white,almond,numerous,meadows
279,edible,flat,fibrous,brown,none,scattered,grasses
280,edible,convex,smooth,yellow,anise,numerous,meadows
281,poisonous,convex,scaly,white,pungent,scattered,grasses
282,edible,bell,scaly,yellow,almond,numerous,meadows
283,edible,sunken,fibrous,brown,none,several,urban
284,edible,convex,smooth,yellow,anise,scattered,meadows
285,edible,bell,scaly,white,anise,numerous,meadows
286,edible,flat,scaly,brown,almond,scattered,grasses
287,edible,bell,scaly,yellow,almond,scattered,meadows
288,edible,bell,scaly,white,almond,scattered,grasses
289,edible,convex,scaly,brown,anise,soletary,paths
290,edible,flat,fibrous,gray,none,soletary,urban
291,edible,convex,fibrous,gray,none,soletary,urban
292,edible,bell,scaly,yellow,anise,scattered,grasses
293,edible,convex,smooth,yellow,anise,scattered,meadows
294,edible,bell,scaly,white,anise,scattered,grasses
295,edible,convex,smooth,white,almond,scattered,meadows
296,edible,bell,smooth,yellow,almond,numerous,meadows
297,edible,convex,smooth,yellow,almond,scattered,meadows
298,edible,convex,fibrous,gray,none,scattered,grasses
299,edible,flat,smooth,yellow,almond,several,woods
300,poisonous,convex,scaly,white,pungent,scattered,grasses
301,edible,convex,fibrous,white,none,abundant,grasses
302,edible,bell,scaly,white,almond,scattered,grasses
303,edible,convex,smooth,yellow,anise,several,woods
304,edible,bell,scaly,white,almond,scattered,grasses
305,edible,convex,scaly,white,anise,scattered,grasses
306,edible,convex,fibrous,brown,none,soletary,woods
307,edible,bell,scaly,white,anise,scattered,meadows
308,edible,convex,smooth,yellow,anise,numerous,meadows
309,edible,flat,scaly,brown,almond,soletary,grasses
310,edible,convex,fibrous,white,none,scattered,grasses
311,edible,convex,smooth,yellow,anise,scattered,grasses
312,poisonous,convex,scaly,white,pungent,several,grasses
313,edible,convex,scaly,yellow,anise,scattered,grasses
314,edible,convex,fibrous,white,almond,several,woods
315,edible,bell,smooth,yellow,almond,numerous,grasses
316,poisonous,convex,scaly,white,pungent,several,urban
317,edible,convex,smooth,yellow,almond,several,woods
318,edible,convex,scaly,white,almond,numerous,meadows
319,edible,convex,fibrous,white,anise,several,woods
320,edible,flat,smooth,white,anise,several,woods
321,edible,convex,scaly,yellow,anise,scattered,meadows
322,edible,flat,fibrous,yellow,almond,several,woods
323,edible,convex,smooth,white,almond,scattered,grasses
324,edible,bell,scaly,yellow,almond,scattered,meadows
325,edible,convex,scaly,brown,anise,scattered,paths
326,edible,bell,scaly,white,anise,numerous,grasses
327,edible,convex,smooth,yellow,almond,scattered,meadows
328,poisonous,convex,scaly,brown,pungent,several,urban
329,edible,bell,smooth,yellow,anise,numerous,grasses
330,edible,bell,scaly,white,almond,numerous,grasses
331,poisonous,convex,scaly,brown,pungent,several,urban
332,edible,bell,smooth,white,anise,scattered,meadows
333,edible,bell,scaly,yellow,anise,numerous,meadows
334,edible,bell,scaly,yellow,almond,scattered,grasses
335,edible,convex,scaly,white,anise,numerous,grasses
336,edible,convex,fibrous,brown,none,soletary,woods
337,edible,convex,scaly,brown,almond,soletary,grasses
338,edible,bell,smooth,yellow,anise,scattered,grasses
339,edible,convex,fibrous,gray,none,several,urban
340,edible,convex,scaly,brown,anise,soletary,grasses
341,edible,convex,smooth,white,almond,scattered,grasses
342,edible,bell,scaly,white,almond,numerous,grasses
343,edible,convex,smooth,yellow,almond,scattered,meadows
344,edible,flat,fibrous,yellow,almond,several,woods
345,edible,bell,scaly,yellow,anise,scattered,grasses
346,edible,convex,fibrous,brown,none,abundant,grasses
347,edible,convex,fibrous,yellow,anise,several,woods
348,edible,convex,smooth,yellow,almond,numerous,meadows
349,edible,flat,smooth,gray,none,scattered,grasses
350,edible,convex,fibrous,brown,none,soletary,urban
351,edible,flat,smooth,gray,none,abundant,grasses
352,edible,flat,scaly,brown,almond,scattered,paths
353,edible,bell,scaly,white,almond,scattered,grasses
354,edible,bell,smooth,yellow,almond,scattered,meadows
355,edible,convex,scaly,yellow,anise,scattered,paths
356,edible,sunken,fibrous,gray,none,several,urban
357,edible,flat,scaly,brown,almond,soletary,paths
358,poisonous,convex,scaly,brown,pungent,scattered,urban
359,edible,convex,scaly,yellow,almond,soletary,paths
360,edible,convex,scaly,yellow,almond,scattered,grasses
361,edible,convex,fibrous,brown,none,scattered,grasses
362,edible,convex,fibrous,brown,none,abundant,grasses
363,edible,flat,smooth,brown,none,abundant,grasses
364,edible,flat,scaly,brown,almond,scattered,paths
365,edible,convex,smooth,yellow,almond,numerous,grasses
366,edible,flat,fibrous,brown,none,several,urban
367,edible,convex,scaly,yellow,almond,scattered,paths
368,edible,convex,fibrous,yellow,almond,several,woods
369,edible,bell,scaly,yellow,almond,numerous,grasses
370,edible,convex,fibrous,gray,none,scattered,grasses
371,edible,convex,scaly,yellow,almond,scattered,grasses
372,edible,flat,scaly,brown,anise,soletary,grasses
373,edible,convex,smooth,yellow,almond,scattered,meadows
374,edible,sunken,fibrous,brown,none,soletary,urban
375,edible,convex,smooth,white,almond,scattered,meadows
376,edible,bell,smooth,white,anise,numerous,grasses
377,edible,sunken,fibrous,brown,none,soletary,urban
378,edible,bell,scaly,yellow,anise,numerous,meadows
379,edible,convex,scaly,yellow,anise,numerous,grasses
380,edible,bell,scaly,yellow,almond,scattered,grasses
381,poisonous,convex,scaly,brown,pungent,scattered,urban
382,edible,convex,smooth,white,none,scattered,grasses
383,edible,convex,scaly,white,almond,scattered,meadows
384,edible,bell,smooth,white,almond,numerous,grasses
385,edible,convex,fibrous,brown,none,soletary,woods
386,poisonous,convex,smooth,brown,pungent,scattered,urban
387,edible,convex,scaly,brown,anise,soletary,paths
388,edible,convex,smooth,brown,none,abundant,grasses
389,edible,bell,scaly,yellow,anise,numerous,meadows
390,edible,convex,smooth,yellow,almond,numerous,meadows
391,edible,bell,smooth,yellow,almond,scattered,meadows
392,edible,convex,smooth,yellow,anise,numerous,meadows
393,edible,bell,scaly,white,almond,numerous,grasses
394,edible,convex,fibrous,gray,none,several,urban
395,edible,flat,scaly,brown,almond,scattered,grasses
396,edible,convex,fibrous,gray,none,abundant,grasses
397,edible,convex,smooth,white,anise,numerous,meadows
398,edible,convex,scaly,yellow,anise,scattered,meadows
399,edible,convex,fibrous,gray,none,several,urban
400,poisonous,convex,smooth,brown,pungent,scattered,urban
401,edible,bell,scaly,white,anise,numerous,grasses
402,edible,bell,scaly,white,almond,numerous,meadows
403,poisonous,convex,scaly,brown,pungent,several,urban
404,edible,bell,smooth,yellow,anise,scattered,meadows
405,edible,convex,smooth,white,anise,scattered,meadows
406,edible,convex,scaly,yellow,anise,scattered,meadows
407,edible,bell,scaly,yellow,anise,numerous,grasses
408,edible,convex,smooth,white,almond,scattered,meadows
409,edible,convex,smooth,white,almond,scattered,grasses
410,edible,convex,scaly,brown,anise,soletary,paths
411,edible,convex,smooth,white,almond,scattered,meadows
412,edible,convex,smooth,brown,none,scattered,grasses
413,edible,convex,scaly,brown,anise,scattered,paths
414,edible,convex,scaly,yellow,anise,soletary,grasses
415,poisonous,convex,scaly,brown,pungent,several,grasses
416,edible,bell,scaly,yellow,almond,numerous,grasses
417,edible,convex,fibrous,white,anise,several,woods
418,poisonous,convex,smooth,brown,pungent,scattered,urban
419,edible,convex,scaly,yellow,anise,numerous,grasses
420,edible,flat,fibrous,gray,none,abundant,grasses
421,edible,convex,scaly,white,anise,scattered,grasses
422,edible,bell,scaly,white,almond,scattered,meadows
423,poisonous,convex,scaly,brown,pungent,scattered,urban
424,edible,flat,scaly,brown,anise,scattered,grasses
425,edible,convex,smooth,white,anise,numerous,meadows
426,edible,convex,smooth,white,almond,several,woods
427,edible,flat,scaly,brown,almond,soletary,paths
428,edible,bell,smooth,white,almond,numerous,meadows
429,edible,convex,smooth,white,none,abundant,grasses
430,edible,flat,fibrous,gray,none,several,urban
431,edible,convex,scaly,white,almond,scattered,grasses
432,edible,convex,scaly,yellow,anise,soletary,grasses
433,edible,bell,smooth,yellow,anise,scattered,grasses
434,edible,bell,smooth,yellow,anise,scattered,grasses
435,edible,flat,smooth,white,anise,several,woods
436,edible,bell,smooth,white,almond,numerous,meadows
437,edible,convex,fibrous,yellow,almond,several,woods
438,edible,convex,scaly,white,anise,numerous,meadows
439,edible,bell,scaly,yellow,anise,numerous,meadows
440,edible,convex,scaly,brown,almond,soletary,paths
441,edible,convex,scaly,white,anise,scattered,meadows
442,edible,convex,scaly,white,anise,scattered,meadows
443,edible,convex,scaly,yellow,almond,soletary,paths
444,edible,convex,scaly,white,anise,numerous,meadows
445,edible,convex,smooth,yellow,anise,numerous,meadows
446,edible,convex,scaly,brown,anise,scattered,grasses
447,edible,convex,smooth,white,anise,numerous,grasses
448,edible,flat,scaly,brown,anise,scattered,grasses
449,edible,bell,smooth,white,anise,scattered,meadows
450,edible,convex,fibrous,brown,none,soletary,woods
451,edible,convex,scaly,white,anise,scattered,meadows
452,edible,bell,smooth,white,anise,numerous,grasses
453,edible,bell,smooth,yellow,anise,numerous,meadows
454,edible,convex,fibrous,yellow,anise,several,woods
455,edible,bell,smooth,white,anise,numerous,meadows
456,edible,convex,smooth,gray,none,abundant,grasses
457,edible,bell,smooth,white,almond,numerous,grasses
458,edible,bell,smooth,yellow,anise,scattered,meadows
459,edible,flat,scaly,yellow,almond,soletary,paths
460,edible,flat,scaly,brown,almond,soletary,paths
461,edible,convex,smooth,white,almond,scattered,meadows
462,edible,flat,scaly,yellow,anise,scattered,grasses
463,edible,bell,smooth,white,almond,scattered,grasses
464,edible,convex,scaly,yellow,almond,numerous,meadows
465,edible,convex,fibrous,brown,none,several,urban
466,edible,flat,scaly,brown,almond,soletary,grasses
467,edible,convex,smooth,white,almond,numerous,meadows
468,edible,convex,smooth,yellow,anise,numerous,grasses
469,edible,bell,scaly,yellow,anise,numerous,grasses
470,edible,flat,scaly,yellow,almond,scattered,paths
471,edible,convex,scaly,yellow,anise,numerous,grasses
472,edible,convex,scaly,white,almond,numerous,meadows
473,edible,flat,fibrous,white,almond,several,woods
474,edible,sunken,fibrous,gray,none,soletary,urban
475,edible,flat,smooth,yellow,anise,several,woods
476,edible,flat,fibrous,gray,none,soletary,urban
477,edible,convex,fibrous,brown,none,soletary,urban
478,edible,bell,scaly,white,almond,numerous,grasses
479,edible,convex,smooth,white,almond,several,woods
480,edible,bell,scaly,yellow,anise,scattered,meadows
481,edible,bell,scaly,yellow,almond,scattered,meadows
482,edible,bell,scaly,yellow,anise,scattered,grasses
483,edible,flat,smooth,white,anise,several,woods
484,edible,flat,fibrous,gray,none,soletary,urban
485,edible,flat,smooth,white,almond,several,woods
486,edible,flat,scaly,yellow,almond,soletary,grasses
487,edible,convex,scaly,white,anise,scattered,meadows
488,edible,sunken,fibrous,brown,none,soletary,urban
489,edible,convex,scaly,brown,anise,scattered,paths
490,edible,convex,scaly,brown,almond,scattered,paths
491,edible,flat,fibrous,yellow,almond,several,woods
492,poisonous,flat,smooth,brown,pungent,scattered,grasses
493,poisonous,convex,smooth,brown,pungent,several,urban
494,edible,flat,scaly,brown,anise,scattered,paths
495,edible,convex,scaly,yellow,almond,scattered,grasses
496,edible,bell,smooth,yellow,almond,numerous,meadows
497,edible,flat,fibrous,white,none,abundant,grasses
498,edible,flat,scaly,brown,almond,scattered,grasses
499,edible,convex,scaly,white,almond,scattered,grasses
500,edible,bell,smooth,yellow,anise,numerous,meadows
501,edible,convex,smooth,yellow,almond,numerous,grasses
502,edible,bell,scaly,yellow,almond,numerous,grasses
503,edible,convex,smooth,white,anise,numerous,meadows
504,edible,bell,smooth,yellow,almond,scattered,meadows
505,edible,bell,scaly,yellow,almond,scattered,grasses
506,poisonous,convex,smooth,brown,pungent,several,grasses
507,edible,convex,smooth,gray,none,scattered,grasses
508,edible,flat,smooth,brown,none,abundant,grasses
509,edible,convex,fibrous,white,almond,several,woods
510,edible,flat,fibrous,gray,none,several,urban
511,edible,flat,fibrous,brown,none,soletary,urban
512,edible,bell,scaly,yellow,almond,scattered,grasses
513,edible,convex,fibrous,white,almond,several,woods
514,edible,sunken,fibrous,gray,none,several,urban
515,edible,convex,fibrous,brown,none,several,urban
516,edible,convex,fibrous,white,none,abundant,grasses
517,edible,convex,scaly,brown,anise,soletary,paths
518,edible,bell,smooth,yellow,almond,numerous,grasses
519,edible,convex,scaly,white,anise,scattered,grasses
520,edible,convex,scaly,yellow,almond,numerous,grasses
521,edible,convex,smooth,white,anise,numerous,meadows
522,edible,bell,smooth,white,anise,scattered,grasses
523,edible,flat,scaly,yellow,almond,soletary,paths
524,poisonous,convex,smooth,brown,pungent,scattered,urban
525,edible,flat,fibrous,gray,none,soletary,urban
526,edible,bell,smooth,yellow,anise,scattered,grasses
527,edible,flat,scaly,brown,almond,scattered,paths
528,edible,convex,smooth,yellow,almond,scattered,meadows
529,edible,convex,fibrous,brown,none,soletary,urban
530,edible,flat,scaly,yellow,almond,soletary,paths
531,edible,convex,scaly,brown,almond,soletary,paths
532,edible,convex,smooth,white,almond,scattered,grasses
533,poisonous,convex,scaly,white,pungent,scattered,grasses
534,edible,flat,scaly,brown,anise,soletary,paths
535,poisonous,flat,smooth,brown,pungent,scattered,grasses
536,edible,convex,fibrous,white,none,scattered,grasses
537,edible,bell,scaly,white,almond,scattered,meadows
538,edible,sunken,fibrous,brown,none,several,urban
539,edible,convex,scaly,yellow,anise,scattered,meadows
540,edible,flat,smooth,white,almond,several,woods
541,edible,convex,smooth,yellow,almond,scattered,meadows
542,edible,flat,fibrous,gray,none,scattered,grasses
543,poisonous,convex,scaly,white,pungent,scattered,grasses
